"bin","n","predicted_cate","n_treated","n_control","rate_treated","rate_control","observed_cate","calibration_error"
1,946,0.00140084401460026,459,487,0.178649237472767,0.125256673511294,0.0533925639614732,-0.051991719946873
2,946,0.0062266996469924,509,437,0.094302554027505,0.045766590389016,0.0485359636384889,-0.0423092639914965
3,945,0.0082914044843721,497,448,0.0724346076458752,0.0535714285714286,0.0188631790744467,-0.0105717745900745
4,946,0.00969513445598531,491,455,0.0549898167006109,0.0461538461538462,0.00883597054676468,0.000859163909220634
5,945,0.0109730621295199,473,472,0.0676532769556026,0.0572033898305084,0.0104498871250941,0.000523175004425756
6,946,0.0123253008711902,482,464,0.0580912863070541,0.0732758620689656,-0.0151845757619115,0.0275098766331018
7,945,0.0140363082239364,458,487,0.0873362445414848,0.0759753593429158,0.011360885198569,0.00267542302536737
8,946,0.0160555675291274,434,512,0.1036866359447,0.072265625,0.0314210109447004,-0.015365443415573
9,945,0.0185071635114362,455,490,0.0967032967032967,0.0673469387755102,0.0293563579277865,-0.0108491944163503
10,946,0.0237781922398919,470,476,0.112765957446809,0.134453781512605,-0.0216878240657965,0.0454660163056883
