"total_score","n","mean_cate","se_cate","ci_lower","ci_upper","confidence"
0,131,0.00951521869872496,0.000350411175928105,0.00882841279390588,0.010202024603544,"Low"
1,957,0.0103445257649577,0.000154503165224839,0.0100416995611171,0.0106473519687984,"Low"
2,1602,0.0120827913805171,0.000117645401916177,0.0118522063927614,0.0123133763682728,"Low"
3,1666,0.0127117674407434,0.000133758845564355,0.0124496001034373,0.0129739347780495,"Moderate"
4,1633,0.0130065601858913,0.000149472887295389,0.0127135933267923,0.0132995270449903,"Moderate"
5,1469,0.0122625655413738,0.000179110604814702,0.011911508755937,0.0126136223268107,"Moderate"
6,1023,0.0121466894772086,0.000215671123240746,0.0117239740756568,0.0125694048787605,"High"
7,622,0.0118289460431135,0.000331850411290816,0.0111785192369835,0.0124793728492435,"High"
8,274,0.011353834758569,0.000623141633191634,0.0101324771575134,0.0125751923596246,"High"
9,68,0.0107805436783729,0.00139878067065223,0.00803893356389458,0.0135221537928513,"High"
10,11,0.0114971289673228,0.00379650725369707,0.00405597475007653,0.018938283184569,"High"
