"total_score","n","mean_cate","se_cate","ci_lower","ci_upper","recommendation","confidence"
0,145,0.0137,7.1e-05,0.0136,0.0138,"Individualized Decision","Low"
1,1381,0.0139,3.1e-05,0.0138,0.014,"Individualized Decision","Low"
2,1731,0.0156,5.4e-05,0.0155,0.0157,"Moderate Continue","Moderate"
3,1762,0.0173,7.4e-05,0.0172,0.0174,"Moderate Continue","Moderate"
4,1612,0.0185,8.7e-05,0.0183,0.0187,"Moderate Continue","Moderate"
5,1315,0.0196,9e-05,0.0194,0.0198,"Moderate Continue","Moderate"
6,819,0.0211,1e-04,0.0209,0.0213,"Strong Continue","High"
7,447,0.0221,0.000122,0.0219,0.0223,"Strong Continue","High"
8,176,0.0233,0.000178,0.023,0.0236,"Strong Continue","High"
9,40,0.0243,0.000266,0.0238,0.0248,"Strong Continue","High"
10,2,0.0219,0.000412,0.0211,0.0227,"Strong Continue","High"
