"","0","1","p","test","SMD"
"n","  6084","  6271","","",""
"age (mean (SD))"," 59.50 (13.14)"," 58.25 (13.72)","<0.001",""," 0.093"
"bmi (mean (SD))"," 25.76 (3.75)"," 25.33 (4.84)","<0.001",""," 0.098"
"egfr (mean (SD))"," 87.25 (24.33)"," 89.17 (25.34)","<0.001",""," 0.078"
"preop_cr (mean (SD))"," 83.22 (61.29)"," 82.92 (70.11)"," 0.797",""," 0.005"
"preop_hb (mean (SD))","223.46 (115.66)","240.64 (114.38)","<0.001",""," 0.149"
"preop_bun (mean (SD))","  7.29 (3.41)","  7.38 (3.94)"," 0.136",""," 0.027"
"preop_plt (mean (SD))","228.30 (89.66)","215.74 (83.97)","<0.001",""," 0.145"
"preop_alb (mean (SD))"," 40.62 (6.19)"," 40.94 (6.36)"," 0.005",""," 0.051"
"preop_k (mean (SD))","  4.11 (0.48)","  4.15 (0.41)","<0.001",""," 0.099"
"los (mean (SD))"," 25.89 (14.92)"," 27.16 (14.03)","<0.001",""," 0.088"
"sex = M (%)","  4113 (67.6) ","  3992 (63.7) ","<0.001",""," 0.083"
"surgery_type (%)","  ","  ","<0.001",""," 0.359"
"   Artery surgery","   929 (15.3) ","   468 ( 7.5) ","","",""
"   CABG surgery","  2361 (38.8) ","  2023 (32.3) ","","",""
"   CABG+Valve surgery","   382 ( 6.3) ","   390 ( 6.2) ","","",""
"   Congenital heart surgery","   315 ( 5.2) ","   284 ( 4.5) ","","",""
"   Others surgery","   194 ( 3.2) ","   243 ( 3.9) ","","",""
"   Valve surgery","  1497 (24.6) ","  2354 (37.5) ","","",""
"   Valve+Artery surgery","   406 ( 6.7) ","   509 ( 8.1) ","","",""
"heart_failure = 1 (%)","  2385 (39.2) ","  2830 (45.1) ","<0.001",""," 0.120"
"hypertension = 1 (%)","  5844 (96.1) ","  5303 (84.6) ","<0.001",""," 0.396"
"diabetes = 1 (%)","  2078 (34.2) ","  1987 (31.7) "," 0.004",""," 0.053"
"ckd = 1 (%)","   360 ( 5.9) ","   332 ( 5.3) "," 0.143",""," 0.027"
"respiratory_disease = 1 (%)","  1463 (24.0) ","  1235 (19.7) ","<0.001",""," 0.105"
"cpb = 1 (%)","  4131 (67.9) ","  5100 (81.3) ","<0.001",""," 0.312"
"ccb = 1 (%)","  2114 (34.7) ","  1462 (23.3) ","<0.001",""," 0.254"
"statin = 1 (%)","  2706 (44.5) ","  1977 (31.5) ","<0.001",""," 0.269"
"antiplatelet = 1 (%)","  3423 (56.3) ","  3096 (49.4) ","<0.001",""," 0.138"
"beta_blocker = 1 (%)","  3806 (62.6) ","  3281 (52.3) ","<0.001",""," 0.208"
"adverse_event = 1 (%)","   470 ( 7.7) ","   562 ( 9.0) "," 0.014",""," 0.045"
"aki_all = 1 (%)","  1828 (30.0) ","  1905 (30.4) "," 0.702",""," 0.007"
"aki1 = 1 (%)","  1349 (22.2) ","  1326 (21.1) "," 0.172",""," 0.025"
"aki2 = 1 (%)","   340 ( 5.6) ","   353 ( 5.6) "," 0.953",""," 0.002"
"aki3 = 1 (%)","   218 ( 3.6) ","   276 ( 4.4) "," 0.023",""," 0.042"
"death = 1 (%)","    76 ( 1.2) ","    98 ( 1.6) "," 0.161",""," 0.027"
"ecmo = 1 (%)","    24 ( 0.4) ","    22 ( 0.4) "," 0.802",""," 0.007"
"iabp = 1 (%)","   242 ( 4.0) ","   288 ( 4.6) "," 0.101",""," 0.030"
"dialysis = 1 (%)","    52 ( 0.9) ","    69 ( 1.1) "," 0.195",""," 0.025"
