"subgroup_var","subgroup_level","n","OR","OR_CI_lower","OR_CI_upper","p_value","p_interaction","p_interaction_fdr"
"age_group","<65",5642,1.06721574928138,0.869110982990356,1.31047642683726,0.534633171706841,1.1854198509664e-09,2.07448473919121e-09
"age_group",">=65",3814,1.44244727179576,1.16989910591428,1.77849023167259,0.000606716405762125,1.1854198509664e-09,2.07448473919121e-09
"egfr_group","60-89",3387,1.38961490106699,1.08465425595405,1.78031807155812,0.00924566058202302,2.5433174274599e-129,1.78032219922193e-128
"egfr_group",">=90",4939,1.20630252100743,0.895322301226272,1.62529825314954,0.217549007010288,2.5433174274599e-129,1.78032219922193e-128
"egfr_group","<60",1130,1.17955561377175,0.913230786198932,1.5235485564077,0.205940067941782,2.5433174274599e-129,1.78032219922193e-128
"diabetes","0",6108,1.37968619946753,1.12966887485305,1.68503713908978,0.00160349683552746,1.43899592872112e-11,3.35765716701594e-11
"diabetes","1",3348,1.09519962258903,0.882495345208211,1.35917115011656,0.409143833403294,1.43899592872112e-11,3.35765716701594e-11
"hypertension","1",8943,1.24155881900323,1.07025258854323,1.44028458099117,0.00428635253105478,0.00303271248700116,0.00424579748180162
"hypertension","0",513,1.24324324324324,0.541725378102014,2.85320537739125,0.607463953930336,0.00303271248700116,0.00424579748180162
"heart_failure","1",4005,1.26443630152619,1.02147030580627,1.56519396748911,0.0311520599832466,0.00894573403464624,0.0104366897070873
"heart_failure","0",5451,1.20978450564227,0.989896446440918,1.47851682401153,0.0627755544583057,0.00894573403464624,0.0104366897070873
"ckd","0",8919,1.23684880530653,1.04554278016911,1.46315865424536,0.0131569103316752,9.08342947500132e-88,3.17920031625046e-87
"ckd","1",537,1.32625561453646,0.935265563290692,1.88070001091528,0.113090556828276,9.08342947500132e-88,3.17920031625046e-87
"sex","F",3270,1.13129600187185,0.868812768961313,1.47307991960259,0.359712634507345,0.0140037688867239,0.0140037688867239
"sex","M",6186,1.29059829059795,1.08287409870526,1.53816953391523,0.00438218947280752,0.0140037688867239,0.0140037688867239
